"","country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"1","Afghanistan","17 Dec 2020",154767,49621,32.1,0.4,0.13
"2","Albania","18 Feb 2021",428654,96838,22.6,15,3.4
"3","Algeria","2 Nov 2020",230553,58574,25.4,0.53,0.13
"4","Andorra","13 Dec 2021",247655,19967,8.1,319,25.7
"5","Angola","12 Mar 2021",399228,20981,5.3,1.3,0.067
"6","Antigua and Barbuda","6 Mar 2021",15268,832,5.4,15.9,0.86
"7","Argentina","18 Dec 2021",27005746,5386453,19.9,59.5,11.9
"8","Armenia","19 Dec 2021",2492210,343636,13.8,84.4,11.6
"9","Australia","18 Dec 2021",51390860,246797,0.48,205,0.98
"10","Austria","19 Dec 2021",117317627,1245943,1.1,1318,14
"11","Azerbaijan","18 Dec 2021",5739928,609397,10.6,58,6.2
"12","Bahamas","11 Dec 2021",173567,22907,13.2,45,5.9
"13","Bahrain","18 Dec 2021",7754577,278410,3.6,494,17.7
"14","Bangladesh","24 Jul 2021",7417714,1151644,15.5,4.5,0.7
"15","Barbados","16 Dec 2021",456453,27126,5.9,159,9.5
"16","Belarus","18 Dec 2021",10795597,683172,6.3,114,7.2
"17","Belgium","17 Dec 2021",26341416,1999764,7.6,229,17.4
"18","Belize","13 Dec 2021",363915,31105,8.5,89.1,7.6
"19","Benin","4 May 2021",595112,7884,1.3,5.1,0.067
"20","Bhutan","18 Dec 2021",1271150,2656,0.21,171,0.36
"21","Bolivia","19 Dec 2021",29367479,564747,19.2,25.7,4.9
"22","Bosnia and Herzegovina","15 Dec 2021",1438312,283109,19.7,42,8.3
"23","Botswana","13 Dec 2021",1944469,197644,10.2,86.3,8.8
"24","Brazil","19 Feb 2021",23561497,10081676,42.8,11.2,4.8
"25","Brunei","2 Aug 2021",153804,338,0.22,33.5,0.074
"26","Bulgaria","18 Dec 2021",7103756,724337,10.2,102.2,10.4
"27","Burkina Faso","4 Mar 2021",158777,12123,7.6,0.76,0.058
"28","Burundi","5 Jan 2021",90019,884,0.98,0.76,0.0074
"29","Cambodia","1 Aug 2021",1812706,77914,4.3,11.2,0.48
"30","Cameroon","18 Feb 2021",942685,32681,3.5,3.6,0.12
"31","Canada","17 Dec 2021",50635831,1866907,3.7,134,4.9
"32","Chad","2 Mar 2021",99027,4020,4.1,0.72,0.029
"33","Chile","18 Dec 2021",26696229,1790524,6.7,140,9.4
"34","China[c]","31 Jul 2020",1.6e+08,87655,0.055,11.1,0.0061
"35","Colombia","19 Dec 2021",28957976,5107323,17.6,60,10.6
